first,scope,scenario,model,n,cycles,correct,accuracy,mae_cycle,mae_pooled,rmse_pooled,bias_cycle,brier_cycle,wis_cycle,width70_cycle,coverage70_pooled,coverage95_pooled
2012,polled,oct31,Final Gaussian,172,7,162,94.18604651162791,5.03078512086149,4.968405478873727,6.46472345042946,2.931108901936046,0.052132795096059434,2.7860113557221307,12.790051982553718,71.51162790697676,94.18604651162791
2012,polled,oct31,Older Gaussian,172,7,163,94.76744186046511,5.111479199744186,5.046333310507041,6.587367789727148,2.9704478399906513,0.05226262980164744,2.8317372472890403,12.743798751714943,69.18604651162791,92.44186046511628
2012,no_polls,matched_live,Final Gaussian,62,7,56,90.32258064516128,9.21878296508633,10.019596150599234,15.167175676229688,3.307046870216159,0.044545709215720604,5.8614881125891305,34.210539553686615,83.87096774193549,95.16129032258065
2012,no_polls,matched_live,Older Gaussian,62,7,56,90.32258064516128,9.738487192546616,10.982033433809193,16.64536592248041,4.493007682790649,0.05129297682182909,6.220014546666962,37.431101754226866,87.09677419354838,96.7741935483871
2012,no_polls,oct31,Final Gaussian,26,7,26,100.0,6.989747064326244,7.226977930883029,8.868222746732522,-0.8734456312100473,0.012279433997100993,4.875923353764633,36.02119534810045,96.15384615384616,100.0
2012,no_polls,oct31,Older Gaussian,26,7,26,100.0,7.070965972541442,7.777765442860808,9.261486423889954,0.46249673219949095,0.014235956992531633,4.910734325625362,36.57824359257232,100.0,100.0
2016,all,matched_live,Final Gaussian,140,5,128,91.42857142857143,6.306699519325161,6.254845694667786,9.637641910253619,3.6580530308197985,0.05547549740712606,3.822071947221663,19.87642276367679,78.57142857142857,94.28571428571428
2016,all,matched_live,Older Gaussian,140,5,129,92.14285714285714,6.8084525074861135,6.754405146277485,10.63063268214652,3.930634794233253,0.05909010725289672,4.052763332715914,20.89721382096037,79.28571428571428,94.28571428571428
2016,all,oct31,Final Gaussian,140,5,132,94.28571428571428,5.205968268930451,5.18106732824363,6.682834543380135,3.0876339226651903,0.0504216911477207,3.053756732659301,15.799663560413624,73.57142857142858,94.28571428571428
2016,all,oct31,Older Gaussian,140,5,133,95.0,5.343580202473381,5.308040004403251,6.7837947169272885,3.263190101418855,0.050118839125031234,3.1014410134697092,15.544467104817906,72.14285714285714,92.85714285714286
2016,competitive,matched_live,Final Gaussian,54,5,44,81.48148148148148,6.518024215700341,6.2033763236279915,10.995456529969946,4.945471268364054,0.11417757136443478,3.7200784339704365,17.244941695668793,81.48148148148148,92.5925925925926
2016,competitive,matched_live,Older Gaussian,54,5,45,83.33333333333334,7.039559237709556,6.695458002393445,12.341541964625272,4.975729134705297,0.11672377355921988,3.888242471659918,18.441271874985183,83.33333333333334,92.5925925925926
2016,competitive,oct31,Final Gaussian,54,5,48,88.88888888888889,5.012850780684744,4.832238644202419,6.892923896076206,3.6740726676284,0.10328547276151809,2.8963611603359523,12.546639146651705,75.92592592592592,92.5925925925926
2016,competitive,oct31,Older Gaussian,54,5,49,90.74074074074075,5.1305182593607785,4.958840082510721,6.947452057724753,3.620078923745281,0.10225117393303358,2.937993445017224,12.569565024317736,72.22222222222221,90.74074074074075
2016,polled,matched_live,Final Gaussian,102,5,93,91.17647058823529,5.327096191672903,5.150019998430008,6.934984001928722,3.1840432140482804,0.07161819179178637,2.9957545197482522,14.510139643188756,78.43137254901961,94.11764705882352
2016,polled,matched_live,Older Gaussian,102,5,93,91.17647058823529,5.574880430588898,5.427991348773887,7.303592761941566,3.2004194952971745,0.07005217400371458,3.132067116649135,14.379028711040622,77.45098039215686,93.13725490196079
2016,polled,oct31,Final Gaussian,125,5,117,93.60000000000001,5.23993234306437,5.135471093189902,6.630734885533066,3.728442164614665,0.05625154622150217,2.877920800826765,13.104380933607843,70.39999999999999,93.60000000000001
2016,polled,oct31,Older Gaussian,125,5,118,94.39999999999999,5.376617817502284,5.26533098641853,6.803527962617847,3.805325070194479,0.05561206058568603,2.956019064959187,12.996488010752262,68.8,92.0
2016,no_polls,matched_live,Final Gaussian,38,5,35,92.10526315789474,8.392319419062138,9.220430458253404,14.598297941274232,3.3655355714827495,0.02193515914858902,5.282580312087092,30.52217533695018,78.94736842105263,94.73684210526315
2016,no_polls,matched_live,Older Gaussian,38,5,36,94.73684210526315,8.818474236360952,10.31477902378714,16.527901061926787,4.180579665716649,0.03219768040034818,5.404471485119761,32.2545501689404,84.21052631578947,97.36842105263158
2016,no_polls,oct31,Final Gaussian,15,5,15,100.0,6.202870729851558,5.561035953691367,7.102150916021236,-0.20119044174848816,0.007277702553363835,4.699434265334807,35.1438841425257,100.0,100.0
2016,no_polls,oct31,Older Gaussian,15,5,15,100.0,6.315165987635536,5.663948487609267,6.617062864706241,0.7476845243431797,0.008202176611871318,4.432715492131044,32.62349734901064,100.0,100.0
2018,all,matched_live,Final Gaussian,111,4,105,94.5945945945946,5.921768603553226,5.8390281528244685,8.578824965188794,3.5502252457223515,0.04339468028181308,3.499847637212046,17.263551896486337,77.47747747747748,93.69369369369369
2018,all,matched_live,Older Gaussian,111,4,105,94.5945945945946,6.326575748621471,6.236701745346414,9.378782439071111,3.7803347717592497,0.04526624639093839,3.6590379085971168,17.073511123860648,78.37837837837837,92.7927927927928
2018,all,oct31,Final Gaussian,111,4,108,97.2972972972973,4.850170788361271,4.802737282964866,6.257475035008331,2.7453126475248935,0.038922889269154694,2.8421924681809734,15.640005820559484,78.37837837837837,96.3963963963964
2018,all,oct31,Older Gaussian,111,4,109,98.1981981981982,5.045904506557733,4.987670216382989,6.45679406748191,2.915174405051098,0.03872379997243177,2.8886813894012153,15.160287277859005,75.67567567567568,94.5945945945946
2018,competitive,matched_live,Final Gaussian,44,4,38,86.36363636363636,5.744976469622423,5.4290947608134426,9.0030398130524,4.226067756380405,0.10205663569803336,3.1455999493408404,14.83154979756483,81.81818181818183,93.18181818181817
2018,competitive,matched_live,Older Gaussian,44,4,38,86.36363636363636,6.219693945039207,5.871921091939464,10.13722598683029,4.2726842932568685,0.10357324152735839,3.3517730429574857,14.935774620982091,84.0909090909091,90.9090909090909
2018,competitive,oct31,Final Gaussian,44,4,41,93.18181818181817,4.680294585652273,4.488866617699645,6.582367292100328,3.117774727356336,0.08749096191710556,2.729092027668813,12.919077844535913,81.81818181818183,93.18181818181817
2018,competitive,oct31,Older Gaussian,44,4,42,95.45454545454545,4.882775750148566,4.694601852124605,6.7036869181084,3.101496583123378,0.0870166327877082,2.8108049937489503,12.960459028065891,77.27272727272727,90.9090909090909
2018,polled,matched_live,Final Gaussian,89,4,84,94.3820224719101,5.301990511449077,5.109486449173866,7.0158704932545835,3.1516380192273084,0.0493561285330373,3.062322708470891,14.270578587639301,78.65168539325843,93.25842696629213
2018,polled,matched_live,Older Gaussian,89,4,84,94.3820224719101,5.618247929120596,5.431873953943024,7.41723137748967,3.1795004214678677,0.048918045061741175,3.2172033827744015,14.038353773384568,77.52808988764045,92.13483146067416
2018,polled,oct31,Final Gaussian,101,4,98,97.02970297029702,4.908255474928749,4.795391396773992,6.2556852605941655,3.108338151330429,0.04176516754766524,2.6892959328247352,13.497800999358295,76.23762376237624,96.03960396039604
2018,polled,oct31,Older Gaussian,101,4,99,98.01980198019803,5.064085451624708,4.941826124336773,6.457490581061628,3.1866539222562067,0.04144483465966328,2.777636053008198,13.331330950932138,73.26732673267327,94.05940594059405
2018,no_polls,matched_live,Final Gaussian,22,4,21,95.45454545454545,8.037453548412248,8.790355953956453,13.122474376390846,3.027014322919689,0.013020504738942716,4.8417434606183365,27.55240213227064,72.72727272727273,95.45454545454545
2018,no_polls,matched_live,Older Gaussian,22,4,21,95.45454545454545,8.161772622460745,9.492595992387402,14.874275487373623,3.839318857743288,0.019816975449024873,4.772581556890062,27.11621515383525,81.81818181818183,95.45454545454545
2018,no_polls,oct31,Final Gaussian,10,4,10,100.0,6.021276813792271,4.8769307334927,6.275523143813629,0.7366092254380754,0.006329098232046687,4.5781771627400865,33.93116892913065,100.0,100.0
2018,no_polls,oct31,Older Gaussian,10,4,10,100.0,6.371343891862356,5.45069554604977,6.449755064039734,1.7205005637757251,0.006226334096199456,4.213260411351224,30.000190887955014,100.0,100.0
